racenum,pos,hnum,finalOdds,temp,cond,finish_time,date,hname,jockey,trainer
1,1,7,4.1,5,Fast,118.3,2016-05-06,Kamila,Emilie,Tatiana
1,2,2,3.9,5,Fast,118.4,2016-05-06,Troy,Briella,Hadlee
1,3,1,6.45,5,Fast,119.2,2016-05-06,Quinton,Bartholomew,Emmanuel
1,4,4,15.15,5,Fast,119.2,2016-05-06,Mackenzie,Yehuda,Deandre
1,5,5,10.7,5,Fast,120.3,2016-05-06,Brenda,Ansley,Kehlani
1,6,6,70.6,5,Fast,120.4,2016-05-06,Layton,Kiara,Kylan
1,7,3,0.6,5,Fast,123.1,2016-05-06,Axel,Gilbert,Amya
2,1,3,0.25,5,Fast,118.1,2016-05-06,Cuthbert,Emilie,Eric
2,2,6,14.05,5,Fast,118.1,2016-05-06,Alexis,Jamie,Carlos
2,3,5,33.35,5,Fast,119.1,2016-05-06,Deandre,Harlan,Kiera
2,4,1,12.85,5,Fast,119.2,2016-05-06,Ismael,Doris,Abby
2,5,4,11.5,5,Fast,119.3,2016-05-06,Dominick,Hadassah,Desiree
2,6,8,18.25,5,Fast,119.3,2016-05-06,Aitana,Zayden,Celine
2,7,2,18.05,5,Fast,119.4,2016-05-06,Nickolas,Bartholomew,Cohen
2,8,7,4.4,5,Fast,120,2016-05-06,Vance,Chaya,Winter
3,1,2,18.35,5,Fast,115.3,2016-05-06,Kenna,Maritza,Winter
3,2,5,1.95,5,Fast,116.2,2016-05-06,Annie,Doris,Abby
3,3,1,1.65,5,Fast,116.4,2016-05-06,Lilianna,Maverick,Karina
3,4,6,2.3,5,Fast,117,2016-05-06,Allan,Emilie,Trevor
3,5,9,14.3,5,Fast,117.1,2016-05-06,Gabrielle,Amira,Zeke
3,6,8,15.5,5,Fast,118,2016-05-06,Kairi,Chaya,Davina
3,7,7,28.5,5,Fast,118.2,2016-05-06,Beau,Yehuda,Debra
4,1,5,2.2,5,Fast,119.4,2016-05-06,Dorian,Anya,Luciana
4,2,8,31.7,5,Fast,120.4,2016-05-06,Chanel,Josephine,Brenna
4,3,9,3.8,5,Fast,120.4,2016-05-06,Derrick,Doris,Abby
4,4,4,21.4,5,Fast,121.2,2016-05-06,Forrest,Chaya,Mathew
